Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-08-31,Marketable,Floating Rate Notes,553288.3234,78.065,553366.3884,5,2021,4,2021,3,08,31
2021-08-31,Marketable,Federal Financing Bank,0,6053.039,6053.039,6,2021,4,2021,3,08,31
2021-08-31,Total Marketable,_,21908889.0832579,23298.69705336,21932187.7803112,7,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,Domestic Series,44572.7221651,0,44572.7221651,8,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,State and Local Government Series,129561.88516895,0,129561.88516895,10,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,United States Savings Securities,144020.00998354,0,144020.00998354,11,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,Government Account Series,24175.39754472,6149474.61078611,6173650.00833083,12,2021,4,2021,3,08,31
2021-08-31,Nonmarketable,Other,3060.00429599,0,3060.00429599,13,2021,4,2021,3,08,31
2021-08-31,Total Nonmarketable,_,345654.3611583,6149474.61078611,6495128.97194441,14,2021,4,2021,3,08,31
2021-08-31,Total Public Debt Outstanding,_,22254544.4444162,6172774.30783947,28427316.7522556,15,2021,4,2021,3,08,31
2021-07-31,Marketable,Bills,4140792.4999,1334.185,4142126.6849,1,2021,4,2021,3,07,31
2021-07-31,Marketable,Notes,12176507.056,8518.7767,12185025.8327,2,2021,4,2021,3,07,31
2021-07-31,Marketable,Bonds,3201102.47665,6777.0535,3207879.53015,3,2021,4,2021,3,07,31
2021-07-31,Marketable,Treasury Inflation-Protected Securities,1603247.37165669,739.73449171,1603987.1061484,4,2021,4,2021,3,07,31
2021-07-31,Marketable,Floating Rate Notes,553383.1607,86.48,553469.6407,5,2021,4,2021,3,07,31
2021-07-31,Marketable,Federal Financing Bank,0,6053.039,6053.039,6,2021,4,2021,3,07,31
2021-07-31,Total Marketable,_,21675032.5649067,23509.26869171,21698541.8335984,7,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,Domestic Series,44571.76067215,0,44571.76067215,8,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,State and Local Government Series,135428.08573965,0,135428.08573965,10,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,United States Savings Securities,144381.78217005,0,144381.78217005,11,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,Government Account Series,281873.684310741,6119584.76518056,6401459.4494913,12,2021,4,2021,3,07,31
2021-07-31,Nonmarketable,Other,3075.33137994,0,3075.33137994,13,2021,4,2021,3,07,31
2021-07-31,Total Nonmarketable,_,609594.986272531,6119584.76518056,6729179.75145309,14,2021,4,2021,3,07,31
2021-07-31,Total Public Debt Outstanding,_,22284627.5511792,6143094.03387227,28427721.5850515,15,2021,4,2021,3,07,31
2021-06-30,Marketable,Bills,4273669.5376,1422.43,4275091.9676,1,2021,3,2021,2,06,30
2021-06-30,Marketable,Notes,12097215.864,9135.6916,12106351.5556,2,2021,3,2021,2,06,30
2021-06-30,Marketable,Bonds,3173226.33755,6702.2495,3179928.58705,3,2021,3,2021,2,06,30
2021-06-30,Marketable,Treasury Inflation-Protected Securities,1617396.16099767,734.23649946,1618130.39749713,4,2021,3,2021,2,06,30
2021-06-30,Marketable,Floating Rate Notes,553405.2257,64.415,553469.6407,5,2021,3,2021,2,06,30
2021-06-30,Marketable,Federal Financing Bank,0,6053.039,6053.039,6,2021,3,2021,2,06,30
2021-06-30,Total Marketable,_,21714913.1258477,24112.06159946,21739025.1874471,7,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,Domestic Series,44570.92055487,0,44570.92055487,8,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,State and Local Government Series,122754.51332678,0,122754.51332678,10,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,United States Savings Securities,144692.89793232,0,144692.89793232,11,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,Government Account Series,299575.06692539,6175501.27792364,6475076.34484903,12,2021,3,2021,2,06,30
2021-06-30,Nonmarketable,Other,3051.92492567,0,3051.92492567,13,2021,3,2021,2,06,30
2021-06-30,Total Nonmarketable,_,614909.66566503,6175501.27792364,6790410.94358867,14,2021,3,2021,2,06,30
2021-06-30,Total Public Debt Outstanding,_,22329822.7915127,6199613.3395231,28529436.1310358,15,2021,3,2021,2,06,30
2021-05-31,Marketable,Bills,4375781.2649,1296.42,4377077.6849,1,2021,3,2021,2,05,31
2021-05-31,Marketable,Notes,11821156.9228,9198.0221,11830354.9449,2,2021,3,2021,2,05,31
2021-05-31,Marketable,Bonds,3087149.40065,6689.6865,3093839.08715,3,2021,3,2021,2,05,31
2021-05-31,Marketable,Treasury Inflation-Protected Securities,1584621.2986667,702.91997694,1585324.21864364,4,2021,3,2021,2,05,31
2021-05-31,Marketable,Floating Rate Notes,527386.85,82.445,527469.295,5,2021,3,2021,2,05,31
2021-05-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,3,2021,2,05,31
2021-05-31,Total Marketable,_,21396095.7370167,25231.35057694,21421327.0875936,7,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,Domestic Series,53075.34854998,0,53075.34854998,8,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,State and Local Government Series,125338.96307853,0,125338.96307853,10,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,United States Savings Securities,144915.13692208,0,144915.13692208,11,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,Government Account Series,298295.089334589,6152838.1150707,6451133.20440528,12,2021,3,2021,2,05,31
2021-05-31,Nonmarketable,Other,2954.59327132,0,2954.59327132,13,2021,3,2021,2,05,31
2021-05-31,Total Nonmarketable,_,624843.473156499,6152838.1150707,6777680.58822719,14,2021,3,2021,2,05,31
2021-05-31,Total Public Debt Outstanding,_,22020939.2101732,6178069.46564764,28199007.6758208,15,2021,3,2021,2,05,31
2021-04-30,Marketable,Bills,4538683.4242,1366.985,4540050.4092,1,2021,3,2021,2,04,30
2021-04-30,Marketable,Notes,11776025.3395,7278.8156,11783304.1551,2,2021,3,2021,2,04,30
2021-04-30,Marketable,Bonds,3056508.71285,6073.5295,3062582.24235,3,2021,3,2021,2,04,30
2021-04-30,Marketable,Treasury Inflation-Protected Securities,1561548.09021577,638.02506151,1562186.11527728,4,2021,3,2021,2,04,30
2021-04-30,Marketable,Floating Rate Notes,501386.7116,82.445,501469.1566,5,2021,3,2021,2,04,30
2021-04-30,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,3,2021,2,04,30
2021-04-30,Total Marketable,_,21434152.2783657,22701.65716151,21456853.9355273,7,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,Domestic Series,53075.30189106,0,53075.30189106,8,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,State and Local Government Series,123707.6397053,0,123707.6397053,10,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,United States Savings Securities,145269.28725983,0,145269.28725983,11,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,Government Account Series,296675.125160191,6095957.5222238,6392632.64738399,12,2021,3,2021,2,04,30
2021-04-30,Nonmarketable,Other,2911.1456747,0,2911.1456747,13,2021,3,2021,2,04,30
2021-04-30,Total Nonmarketable,_,621902.841691081,6095957.5222238,6717861.36391488,14,2021,3,2021,2,04,30
2021-04-30,Total Public Debt Outstanding,_,22056055.1200568,6118659.17938531,28174714.2994421,15,2021,3,2021,2,04,30
2021-03-31,Marketable,Bills,4667845.9471,1192.565,4669038.5121,1,2021,2,2021,1,03,31
2021-03-31,Marketable,Notes,11590088.1326,7128.8776,11597217.0102,2,2021,2,2021,1,03,31
2021-03-31,Marketable,Bonds,3000423.40705,5891.1185,3006314.52555,3,2021,2,2021,1,03,31
2021-03-31,Marketable,Treasury Inflation-Protected Securities,1581332.82809679,642.93841416,1581975.76651095,4,2021,2,2021,1,03,31
2021-03-31,Marketable,Floating Rate Notes,526209.9892,82.301,526292.2902,5,2021,2,2021,1,03,31
2021-03-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,03,31
2021-03-31,Total Marketable,_,21365900.3040468,22199.65751416,21388099.9615609,7,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,Domestic Series,53074.9519508,0,53074.9519508,8,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,State and Local Government Series,121683.95327158,0,121683.95327158,10,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,United States Savings Securities,145792.87927505,0,145792.87927505,11,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,Government Account Series,297423.155804509,6123431.89684096,6420855.05264547,12,2021,2,2021,1,03,31
2021-03-31,Nonmarketable,Other,2798.90639751,0,2798.90639751,13,2021,2,2021,1,03,31
2021-03-31,Total Nonmarketable,_,621038.188699449,6123431.89684096,6744470.08554041,14,2021,2,2021,1,03,31
2021-03-31,Total Public Debt Outstanding,_,21986939.4927462,6145631.55435512,28132570.0471013,15,2021,2,2021,1,03,31
2021-02-28,Marketable,Bills,4857868.1856,1164.665,4859032.8506,1,2021,2,2021,1,02,28
2021-02-28,Marketable,Notes,11305192.4368,7083.5036,11312275.9404,2,2021,2,2021,1,02,28
2021-02-28,Marketable,Bonds,2913929.47645,5738.9135,2919668.38995,3,2021,2,2021,1,02,28
2021-02-28,Marketable,Treasury Inflation-Protected Securities,1559327.58845331,661.00141414,1559988.58986745,4,2021,2,2021,1,02,28
2021-02-28,Marketable,Floating Rate Notes,500225.8576,66.392,500292.2496,5,2021,2,2021,1,02,28
2021-02-28,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,02,28
2021-02-28,Total Marketable,_,21136543.5449033,21976.33251414,21158519.8774174,7,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,Domestic Series,53074.48536825,0,53074.48536825,8,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,State and Local Government Series,117108.53776175,0,117108.53776175,10,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,United States Savings Securities,146319.87562848,0,146319.87562848,11,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,Government Account Series,299601.196727462,6124649.91681658,6424251.11354404,12,2021,2,2021,1,02,28
2021-02-28,Nonmarketable,Other,2825.84589661,0,2825.84589661,13,2021,2,2021,1,02,28
2021-02-28,Total Nonmarketable,_,619194.283382552,6124649.91681658,6743844.20019913,14,2021,2,2021,1,02,28
2021-02-28,Total Public Debt Outstanding,_,21755736.8282859,6146627.24933072,27902364.0776166,15,2021,2,2021,1,02,28
2021-01-31,Marketable,Bills,4953848.8375,1101.32,4954950.1575,1,2021,2,2021,1,01,31
2021-01-31,Marketable,Notes,11165664.0329,7097.7389,11172761.7718,2,2021,2,2021,1,01,31
2021-01-31,Marketable,Bonds,2859903.3128,5802.1768,2865705.4896,3,2021,2,2021,1,01,31
2021-01-31,Marketable,Treasury Inflation-Protected Securities,1549100.68339193,683.14186515,1549783.82525708,4,2021,2,2021,1,01,31
2021-01-31,Marketable,Floating Rate Notes,498489.6934,12.675,498502.3684,5,2021,2,2021,1,01,31
2021-01-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,01,31
2021-01-31,Total Marketable,_,21027006.5599919,21958.90956515,21048965.4695571,7,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,Domestic Series,53073.56388306,0,53073.56388306,8,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,State and Local Government Series,114582.82906968,0,114582.82906968,10,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,United States Savings Securities,146655.0925195,0,146655.0925195,11,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,Government Account Series,299532.202014208,6118678.84671373,6418212.04872794,12,2021,2,2021,1,01,31
2021-01-31,Nonmarketable,Other,2800.20361985,0,2800.20361985,13,2021,2,2021,1,01,31
2021-01-31,Total Nonmarketable,_,616908.233106298,6118678.84671373,6735588.07982003,14,2021,2,2021,1,01,31
2021-01-31,Total Public Debt Outstanding,_,21643914.7930982,6140637.75627888,27784552.5493771,15,2021,2,2021,1,01,31
2020-12-31,Marketable,Treasury Inflation-Protected Securities,1578599.11252046,670.98997554,1579270.102496,4,2021,1,2020,4,12,31
2020-12-31,Marketable,Floating Rate Notes,498498.6634,3.705,498502.3684,5,2021,1,2020,4,12,31
2020-12-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,12,31
2020-12-31,Marketable,Bills,4963056.1085,1083.746,4964139.8545,1,2021,1,2020,4,12,31
2020-12-31,Marketable,Notes,11084743.8407,7180.3536,11091924.1943,2,2021,1,2020,4,12,31
2020-12-31,Marketable,Bonds,2833624.8017,5668.1018,2839292.9035,3,2021,1,2020,4,12,31
2020-12-31,Total Marketable,_,20958522.5268204,21868.75337554,20980391.280196,7,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,Domestic Series,111112.05425152,0,111112.05425152,8,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,State and Local Government Series,115785.72844261,0,115785.72844261,10,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,United States Savings Securities,147129.6790942,0,147129.6790942,11,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,Government Account Series,296811.989896331,6093509.85752723,6390321.84742356,12,2021,1,2020,4,12,31
2020-12-31,Nonmarketable,Other,2792.58982444,0,2792.58982444,13,2021,1,2020,4,12,31
2020-12-31,Total Nonmarketable,_,673896.383509101,6093509.85752723,6767407.24103633,14,2021,1,2020,4,12,31
2020-12-31,Total Public Debt Outstanding,_,21632418.9103295,6115378.61090277,27747797.5212323,15,2021,1,2020,4,12,31
2020-11-30,Marketable,Bills,4942664.0775,999.43,4943663.5075,1,2021,1,2020,4,11,30
2020-11-30,Marketable,Notes,10911912.1931,7223.6821,10919135.8752,2,2021,1,2020,4,11,30
2020-11-30,Marketable,Bonds,2781069.1916,5550.0978,2786619.2894,3,2021,1,2020,4,11,30
2020-11-30,Marketable,Treasury Inflation-Protected Securities,1560512.14202544,714.7435318,1561226.88555724,4,2021,1,2020,4,11,30
2020-11-30,Marketable,Floating Rate Notes,474499.7736,2.49,474502.2636,5,2021,1,2020,4,11,30
2020-11-30,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,11,30
2020-11-30,Total Marketable,_,20670657.3778254,21752.3004318,20692409.6782572,7,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,Domestic Series,111107.54735425,0,111107.54735425,8,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,State and Local Government Series,116268.8126113,0,116268.8126113,10,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,United States Savings Securities,147882.00071697,0,147882.00071697,11,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,Government Account Series,300591.130542999,6075064.36997611,6375654.50051911,12,2021,1,2020,4,11,30
2020-11-30,Nonmarketable,Other,2700.35300299,0,2700.35300299,13,2021,1,2020,4,11,30
2020-11-30,Total Nonmarketable,_,678814.186228509,6075064.36997611,6753878.55620462,14,2021,1,2020,4,11,30
2020-11-30,Total Public Debt Outstanding,_,21349471.5640539,6096816.67040791,27446288.2344618,15,2021,1,2020,4,11,30
2020-10-31,Marketable,Bills,4984441.0922,898.435,4985339.5272,1,2021,1,2020,4,10,31
2020-10-31,Marketable,Notes,10721510.7534,7690.8788,10729201.6322,2,2021,1,2020,4,10,31
2020-10-31,Marketable,Bonds,2691618.3352,5517.8298,2697136.165,3,2021,1,2020,4,10,31
2020-10-31,Marketable,Treasury Inflation-Protected Securities,1544238.72563358,725.15201844,1544963.87765202,4,2021,1,2020,4,10,31
2020-10-31,Marketable,Floating Rate Notes,478315.3991,8.5,478323.8991,5,2021,1,2020,4,10,31
2020-10-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,10,31
2020-10-31,Total Marketable,_,20420124.3055336,22102.65261844,20442226.958152,7,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,Domestic Series,111102.3867491,0,111102.3867491,8,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,State and Local Government Series,116843.64480828,0,116843.64480828,10,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,United States Savings Securities,148286.12095865,0,148286.12095865,11,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,Government Account Series,297681.722526749,6016399.56336476,6314081.28589151,12,2021,1,2020,4,10,31
2020-10-31,Nonmarketable,Other,2672.09529238,0,2672.09529238,13,2021,1,2020,4,10,31
2020-10-31,Total Nonmarketable,_,676850.312335159,6016399.56336476,6693249.70069992,14,2021,1,2020,4,10,31
2020-10-31,Total Public Debt Outstanding,_,21096974.6178687,6038502.2159832,27135476.6588519,15,2021,1,2020,4,10,31
2020-09-30,Marketable,Bills,5028126.6458,781.005,5028907.6508,1,2020,4,2020,3,09,30
2020-09-30,Marketable,Notes,10655969.4827,7794.1734,10663763.6561,2,2020,4,2020,3,09,30
2020-09-30,Marketable,Bonds,2668116.11955,5376.6729,2673492.79245,3,2020,4,2020,3,09,30
2020-09-30,Marketable,Treasury Inflation-Protected Securities,1522417.76742605,772.82374205,1523190.5911681,4,2020,4,2020,3,09,30
2020-09-30,Marketable,Floating Rate Notes,478319.7741,4.125,478323.8991,5,2020,4,2020,3,09,30
2020-09-30,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,09,30
2020-09-30,Total Marketable,_,20352949.789576,21990.65704205,20374940.4466181,7,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,Domestic Series,116099.84528249,0,116099.84528249,8,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,State and Local Government Series,106606.72692521,0,106606.72692521,10,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,United States Savings Securities,148677.45796289,0,148677.45796289,11,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,Government Account Series,291831.36602764,5904448.45718747,6196279.82321511,12,2020,4,2020,3,09,30
2020-09-30,Nonmarketable,Other,2522.53950758,0,2522.53950758,13,2020,4,2020,3,09,30
2020-09-30,Total Nonmarketable,_,666002.27770581,5904448.45718747,6570450.73489328,14,2020,4,2020,3,09,30
2020-09-30,Total Public Debt Outstanding,_,21018952.0672818,5926439.11422952,26945391.1815114,15,2020,4,2020,3,09,30
2020-08-31,Marketable,Bills,5075874.7224,846.721,5076721.4434,1,2020,4,2020,3,08,31
2020-08-31,Marketable,Notes,10516332.2944,7699.5683,10524031.8627,2,2020,4,2020,3,08,31
2020-08-31,Marketable,Bonds,2619323.33755,5212.0582,2624535.39575,3,2020,4,2020,3,08,31
2020-08-31,Marketable,Treasury Inflation-Protected Securities,1501097.19262402,774.78708054,1501871.97970456,4,2020,4,2020,3,08,31
2020-08-31,Marketable,Floating Rate Notes,456321.8222,2.01,456323.8322,5,2020,4,2020,3,08,31
2020-08-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,08,31
2020-08-31,Total Marketable,_,20168949.369174,21797.00158054,20190746.3707545,7,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,Domestic Series,116094.18720599,0,116094.18720599,8,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,United States Savings Securities,149076.92017498,0,149076.92017498,11,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,State and Local Government Series,95900.7561293,0,95900.7561293,10,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,Government Account Series,289278.95585031,5885000.45502184,6174279.41087215,12,2020,4,2020,3,08,31
2020-08-31,Nonmarketable,Other,2473.85936879,0,2473.85936879,13,2020,4,2020,3,08,31
2020-08-31,Total Nonmarketable,_,653089.02072937,5885000.45502184,6538089.47575121,14,2020,4,2020,3,08,31
2020-08-31,Total Public Debt Outstanding,_,20822038.3899034,5906797.45660238,26728835.8465058,15,2020,4,2020,3,08,31
2020-07-31,Total Marketable,_,19986091.2431548,21772.70160356,20007863.9447583,7,2020,4,2020,3,07,31
2020-07-31,Total Public Debt Outstanding,_,20634400.3299008,5890553.58470464,26524952.9146055,15,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,Domestic Series,116088.50335387,0,116088.50335387,8,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,07,31
2020-07-31,Marketable,Bills,5078132.8027,808.115,5078940.9177,1,2020,4,2020,3,07,31
2020-07-31,Marketable,Notes,10419741.7214,7887.1411,10427628.8625,2,2020,4,2020,3,07,31
2020-07-31,Marketable,Bonds,2567980.57055,4978.7562,2572959.32675,3,2020,4,2020,3,07,31
2020-07-31,Marketable,Treasury Inflation-Protected Securities,1485914.55210478,834.82230356,1486749.37440834,4,2020,4,2020,3,07,31
2020-07-31,Marketable,Floating Rate Notes,434321.5964,2.01,434323.6064,5,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,State and Local Government Series,91850.68191694,0,91850.68191694,10,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,United States Savings Securities,149447.76134758,0,149447.76134758,11,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,Government Account Series,288268.485270479,5868780.88310108,6157049.36837155,12,2020,4,2020,3,07,31
2020-07-31,Nonmarketable,Other,2389.3128572,0,2389.3128572,13,2020,4,2020,3,07,31
2020-07-31,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,07,31
2020-07-31,Total Nonmarketable,_,648308.086746069,5868780.88310108,6517089.96984714,14,2020,4,2020,3,07,31
2020-06-30,Marketable,Treasury Inflation-Protected Securities,1508646.88951366,837.56803478,1509484.45754844,4,2020,3,2020,2,06,30
2020-06-30,Marketable,Floating Rate Notes,461766.9522,0,461766.9522,5,2020,3,2020,2,06,30
2020-06-30,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,3,2020,2,06,30
2020-06-30,Total Nonmarketable,_,645835.490733008,5925441.17760317,6571275.66833618,14,2020,3,2020,2,06,30
2020-06-30,Total Public Debt Outstanding,_,20530277.7469967,5946962.87943796,26477240.6264346,15,2020,3,2020,2,06,30
2020-06-30,Total Marketable,_,19884443.2562637,21521.70183478,19905964.9580984,7,2020,3,2020,2,06,30
2020-06-30,Nonmarketable,Domestic Series,121106.75072399,0,121106.75072399,8,2020,3,2020,2,06,30
2020-06-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,3,2020,2,06,30
2020-06-30,Nonmarketable,State and Local Government Series,89241.95756467,0,89241.95756467,10,2020,3,2020,2,06,30
