Source,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.42,0.42,0.08,0.08,0.28,0.28,0.08,0.08,0.05,0.05,0.1,0.1,249129393789.0,249129393789.0,24847590275.0,24847590275.0,55212741003.0,55212741003.0,32720822000.0,32720822000.0,132364929292.0,132364929292.0,722400709465.0,722400709465.0,403992359112.0,403992359112.0,810334272468.0,810334272468.0
2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.37,0.37,0.42,0.42,0.09,0.09,0.27,0.27,0.08,0.08,0.05,0.05,0.1,0.1,247084413912.0,247084413912.0,25966776775.0,25966776775.0,58018932736.0,58018932736.0,29068956250.0,29068956250.0,138779478582.0,138779478582.0,735583367559.0,735583367559.0,410840587276.0,410840587276.0,822671256545.0,822671256545.0
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.36,0.36,0.43,0.43,0.08,0.08,0.28,0.28,0.08,0.08,0.05,0.05,0.1,0.1,248282156865.0,248282156865.0,25624905550.0,25624905550.0,59219697015.0,59219697015.0,22423008000.0,22423008000.0,137955489570.0,137955489570.0,740990021797.0,740990021797.0,410770174827.0,410770174827.0,822632726812.0,822632726812.0
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.38,0.38,0.43,0.43,0.19,0.19,0.27,0.27,0.08,0.08,0.05,0.05,0.1,0.1,230164735875.0,230164735875.0,26046774725.0,26046774725.0,56078033151.0,56078033151.0,11230490000.0,11230490000.0,142161747250.0,142161747250.0,751670214011.0,751670214011.0,420605479312.0,420605479312.0,818978737162.0,818978737162.0
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.43,0.43,0.09,0.09,0.27,0.27,0.07,0.07,0.05,0.05,0.1,0.1,246890317071.0,246890317071.0,26452740975.0,26452740975.0,55825348946.0,55825348946.0,39097890000.0,39097890000.0,137271782236.0,137271782236.0,736377182565.0,736377182565.0,420685581229.0,420685581229.0,831300421511.0,831300421511.0
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.43,0.43,0.09,0.09,0.27,0.27,0.07,0.07,0.05,0.05,0.1,0.1,242308919213.0,242308919213.0,27482845750.0,27482845750.0,56953145362.0,56953145362.0,33700610106.0,33700610106.0,136493237370.0,136493237370.0,724590785146.0,724590785146.0,408959538281.0,408959538281.0,815244540614.0,815244540614.0
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.42,0.42,0.08,0.08,0.28,0.28,0.07,0.07,0.05,0.05,0.1,0.1,237464236410.0,237464236410.0,25976852975.0,25976852975.0,57625793790.0,57625793790.0,30138600000.0,30138600000.0,134458205151.0,134458205151.0,730411329044.0,730411329044.0,420276428298.0,420276428298.0,818175722834.0,818175722834.0
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.45,0.45,0.08,0.08,0.3,0.3,0.07,0.07,0.05,0.05,0.11,0.11,236386405201.0,236386405201.0,28305304850.0,28305304850.0,66371596052.0,66371596052.0,23854143750.0,23854143750.0,143990437286.0,143990437286.0,717936617575.0,717936617575.0,399480210040.0,399480210040.0,808162357377.0,808162357377.0
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.36,0.36,0.44,0.44,0.14,0.14,0.29,0.29,0.08,0.08,0.05,0.05,0.11,0.11,233676610023.0,233676610023.0,27201314225.0,27201314225.0,56130769586.0,56130769586.0,12574367250.0,12574367250.0,135485288807.0,135485288807.0,708348409398.0,708348409398.0,380690333179.0,380690333179.0,777053546234.0,777053546234.0
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.43,0.43,0.09,0.09,0.28,0.28,0.08,0.08,0.05,0.05,0.1,0.1,243116393948.0,243116393948.0,27452267150.0,27452267150.0,57766601682.0,57766601682.0,39082716750.0,39082716750.0,139007179166.0,139007179166.0,711576033443.0,711576033443.0,398849511611.0,398849511611.0,808425351875.0,808425351875.0
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.43,0.43,0.08,0.08,0.28,0.28,0.07,0.07,0.05,0.05,0.1,0.1,241344538254.0,241344538254.0,25363302458.0,25363302458.0,55862710049.0,55862710049.0,35374992484.0,35374992484.0,135060111186.0,135060111186.0,712613782251.0,712613782251.0,402083532886.0,402083532886.0,803851484784.0,803851484784.0
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.42,0.42,0.07,0.07,0.28,0.28,0.07,0.07,0.04,0.04,0.1,0.1,229601777422.0,229601777422.0,25281902075.0,25281902075.0,57297836275.0,57297836275.0,38594211750.0,38594211750.0,134966318998.0,134966318998.0,717894575985.0,717894575985.0,423936625515.0,423936625515.0,813786624010.0,813786624010.0
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.42,0.42,0.08,0.08,0.27,0.27,0.07,0.07,0.04,0.04,0.09,0.09,228223799422.0,228223799422.0,25614877950.0,25614877950.0,57716619650.0,57716619650.0,15958585500.0,15958585500.0,132800950608.0,132800950608.0,725126715259.0,725126715259.0,412162292429.0,412162292429.0,798801920409.0,798801920409.0
2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.42,0.42,0.11,0.11,0.27,0.27,0.07,0.07,0.04,0.04,0.09,0.09,227177009030.0,227177009030.0,25682214025.0,25682214025.0,58625588236.0,58625588236.0,9037727750.0,9037727750.0,132471305499.0,132471305499.0,728043093902.0,728043093902.0,410375881334.0,410375881334.0,795706409888.0,795706409888.0
2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.34,0.34,0.42,0.42,0.09,0.09,0.27,0.27,0.06,0.06,0.04,0.04,0.09,0.09,231188481998.0,231188481998.0,26131196350.0,26131196350.0,54744565087.0,54744565087.0,31699970750.0,31699970750.0,130016377531.0,130016377531.0,722192647774.0,722192647774.0,421301127732.0,421301127732.0,808637183611.0,808637183611.0
2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.35,0.35,0.43,0.43,0.06,0.06,0.28,0.28,0.06,0.06,0.04,0.04,0.09,0.09,231370395712.0,231370395712.0,24897900600.0,24897900600.0,61619997861.0,61619997861.0,27678233862.0,27678233862.0,132927685541.0,132927685541.0,704773467823.0,704773467823.0,404875717693.0,404875717693.0,794071699546.0,794071699546.0
2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.35,0.35,0.42,0.42,0.08,0.08,0.26,0.26,0.06,0.06,0.04,0.04,0.09,0.09,222789686356.0,222789686356.0,24100992200.0,24100992200.0,55536126423.0,55536126423.0,20063782750.0,20063782750.0,131406399445.0,131406399445.0,696471158019.0,696471158019.0,393773989191.0,393773989191.0,772071067192.0,772071067192.0
2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.36,0.36,0.43,0.43,0.09,0.09,0.29,0.29,0.07,0.07,0.04,0.04,0.1,0.1,217743322760.0,217743322760.0,26454810525.0,26454810525.0,67638252557.0,67638252557.0,14994231000.0,14994231000.0,139800511572.0,139800511572.0,699105678510.0,699105678510.0,397739517210.0,397739517210.0,781738162067.0,781738162067.0
2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.42,0.42,0.14,0.14,0.27,0.27,0.07,0.07,0.04,0.04,0.09,0.09,224915450061.0,224915450061.0,23531885625.0,23531885625.0,55650124857.0,55650124857.0,22301171250.0,22301171250.0,133726081916.0,133726081916.0,713213081537.0,713213081537.0,408990960042.0,408990960042.0,791164377644.0,791164377644.0
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.28,0.28,0.4,0.4,0.08,0.08,0.25,0.25,0.03,0.03,0.01,0.01,0.06,0.06,196455401862.0,196455401862.0,27443358925.0,27443358925.0,56904698341.0,56904698341.0,22439625250.0,22439625250.0,130945297055.0,130945297055.0,777091149422.0,777091149422.0,501591415171.0,501591415171.0,856435473013.0,856435473013.0
2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.36,0.36,0.4,0.4,0.07,0.07,0.28,0.28,0.07,0.07,0.04,0.04,0.09,0.09,221141694399.0,221141694399.0,24726787108.0,24726787108.0,60245267355.0,60245267355.0,28706775490.0,28706775490.0,136851259845.0,136851259845.0,725137708077.0,725137708077.0,431370009570.0,431370009570.0,814089750922.0,814089750922.0
2014-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.35,0.35,0.38,0.38,0.08,0.08,0.26,0.26,0.07,0.07,0.04,0.04,0.09,0.09,220166911717.0,220166911717.0,24660708950.0,24660708950.0,59461891445.0,59461891445.0,25649812500.0,25649812500.0,135471699204.0,135471699204.0,719999157362.0,719999157362.0,424811541436.0,424811541436.0,805110861307.0,805110861307.0
2014-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.43,0.43,0.08,0.08,0.27,0.27,0.07,0.07,0.05,0.05,0.1,0.1,218225307730.0,218225307730.0,25240437900.0,25240437900.0,61288670332.0,61933045332.0,22462912500.0,21818537500.0,135560398792.0,135560398792.0,709851696770.0,709851696770.0,414577135180.0,414577135180.0,793603279602.0,793603279602.0
2014-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.42,0.42,0.09,0.08,0.26,0.26,0.07,0.07,0.04,0.04,0.1,0.1,222802643216.0,222802643216.0,25124756125.0,25124756125.0,58224439195.0,58924439195.0,13943412500.0,13243412500.0,136205767213.0,136205767213.0,716389142624.0,716389142624.0,404423827765.0,404423827765.0,788556994319.0,788556994319.0
2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.36,0.36,0.42,0.42,0.09,0.09,0.27,0.27,0.07,0.07,0.05,0.05,0.1,0.1,225891346471.0,225891346471.0,27036121700.0,27036121700.0,60851126336.0,60906126336.0,25235371833.0,25180371833.0,136851356720.0,136851356720.0,713789829474.0,713789829474.0,410097502752.0,410097502752.0,799876327643.0,799876327643.0
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.37,0.37,0.41,0.41,0.08,0.08,0.26,0.26,0.07,0.07,0.04,0.04,0.1,0.1,225840465064.0,225840465064.0,26195891450.0,26195891450.0,57067939770.0,57067939770.0,25120340618.0,25120340618.0,135218149717.0,135218149717.0,709380362269.0,709380362269.0,404314136426.0,404314136426.0,791568642657.0,791568642657.0
